交易哈希,区块高度,时间,发送方,接收方,代币符号,代币名称,代币合约,数量,方法,类型
0x7c141b4df4e7e739d1aa50b784a049edb9f6959382f9b5828b62f70f9897aebc,7089650,2026-07-12 13:39:22,0x36aC8a2EA3BB2028177d3F51A79C12e053A9b7fc,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,825.98,transfer,token_transfer
0xe2f22a2d12f644b09109d4def5eedcb3c9a57c27bbf6ff7442ebe699d12d998a,7089632,2026-07-12 13:38:25,0x365a36Ca729Fdeb69020c6baa0b79F3e10541DC8,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1214.580015,transfer,token_transfer
0x77e2b5e22b07d94cad8792cd229f4a5a6cc68b85380980b602f1a0192a35c5c1,7089362,2026-07-12 13:23:43,0x0879E1171E011496140F5d996dC02F4cDa45287a,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,833.2815,transfer,token_transfer
0xa70f5e3e221660e1f581d245bf17d56aa54ed01405d91c24df8677bc12d00640,7089327,2026-07-12 13:21:49,0xe90E990738965a3bF1E5Fa84a7627ddAa2087b26,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,407.2098,transfer,token_transfer
0x235e876eb5d72245d8c8ed2088080633f83ee2155966a9518dac776f81e85009,7089102,2026-07-12 13:09:37,0x82b8e264d078cef46DB25686A5723d2C94D8736a,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,24508.0,transfer,token_transfer
0xf96ac34dc4c838d36ca0ba31300c8e40c42a435132d85cd3c96d465bf52df36a,7088585,2026-07-12 12:41:37,0xBe8bD0EDcd075DCC7636a26f18E59F319Ad635B1,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1148.0,transfer,token_transfer
0x1924d005867ec43958166f1774c4d8ff1ad75a8ccfcc04f3a9857a8558c4efcd,7087786,2026-07-12 11:58:19,0x9e3d26878683d5E234970380E88DE8AE1Cac788c,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,4.65521,transfer,token_transfer
0x18abc617c75b6ba49290bbf271992c7be36b67ee3f4f35df966bc9fe15bad018,7087777,2026-07-12 11:57:49,0xA2CB4Af02476b1D20519cd6f89D9262bCcCe60fF,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,372.0,transfer,token_transfer
0x669b2972ae1559ad289b93bd36e038b9f0b8e02ba87e4fa9fe69526124cbccd4,7087760,2026-07-12 11:56:55,0xAaB45cC16249FBDa892a0900021a2E7F2eB957Ac,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,463.750535,transfer,token_transfer
0x61332cba5f6e8feda4e444129ee8499df58f832265612c80907983da5b995822,7087742,2026-07-12 11:55:55,0x0b34771FdC4a1006AaDCd8c78531916D473a63D0,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,410.949097,transfer,token_transfer
0xc3343afb2ba5cfc7c740ca99720c9f4e4b31c6d6399f9dcc1f11fd643791227a,7087188,2026-07-12 11:25:46,0xf7611B257E7534014CC5F97160094b07E1E2bF23,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,402.88,transfer,token_transfer
0x97d820f5de0f6367c4f99d9ce94a67123463ad55f971566e09c4c9e4cc2a17c9,7087134,2026-07-12 11:22:49,0xcA2AF7Bad72BA82CD0854f58906f30595A905aec,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,4962.9131,transfer,token_transfer
0x61cf373f38fbbfbd629492202011232a5868f07b0f7aeb44cd0c43e61db72326,7087124,2026-07-12 11:22:19,0x144B96Ed267F338B84bD0ec65A2CC56E8BB7822E,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,392.0,transfer,token_transfer
0x2a82470d30c7e080c4052458260ada5163a213b85f3314be06debc336b8fd228,7087112,2026-07-12 11:21:40,0xA617218Cb097cb91Eb6bB312D07943560f045170,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,100000.0,transfer,token_transfer
0x4cc08040d8afee60e2cb014145c91a16db5018a853cafc2db8ac782a34405978,7087091,2026-07-12 11:20:29,0xd590b35f1e2384661E8f33dDD85B639209e62968,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,398.76,transfer,token_transfer
0xf0af6ad3bd3d5bfe1e3d254e1f8c805550e6e1df7e157ce7f4e22b3814db315f,7087058,2026-07-12 11:18:41,0x76371Ff8108e9da8bDc872841038e9273CA6981c,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,937.2139428027367,transfer,token_transfer
0xe7e0ec4b101bcbd9295977da63ff4d3f99868908cd3cd18705772e2cba515c77,7086926,2026-07-12 11:11:32,0xd1Da1707897b7bF51FdEC3df7AaD3F3e9d219c87,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,406.14,transfer,token_transfer
0xbd67e4c63892ceb5eccd974574484859b0cad1edb3ee4244f436bd3c9c8d9f35,7086627,2026-07-12 10:55:19,0x2D9d573bDfE219F278E41A2A39C2523CE19437D8,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,599.112727,transfer,token_transfer
0xd85511a8b10bcfee90bf63c1abf580c5f1ce8264a421f04f7082009d46207df3,7086542,2026-07-12 10:50:43,0x03556529A242b1F7501f943C0C7D9a522C6c470d,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1115.73,transfer,token_transfer
0x30b976a11500d8c1dd978330edec0954d603b36234ba90ac59afd121e138b127,7086314,2026-07-12 10:38:22,0x8A137bEbA86da8b40cDf9a8B902278cE3522b7d9,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,4689.618424,transfer,token_transfer
0x6168234bb19bd0699be3b6f1cb1ed62fafef11fa7f476f12b56a9669ef8fccc0,7086308,2026-07-12 10:38:04,0xD378F590AFDAB3DC1d036d3afD326bc7E02D472D,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,349.059552,transfer,token_transfer
0xf3c689009c59946bbb626844788e9cce3b01a9ee3f8fd7a9326975f97100f641,7086289,2026-07-12 10:37:01,0xab2FBc6fD79e920C3Ba20A58e72Ba338F80C6dE5,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,1420.201851,transfer,token_transfer
0xad13abc8edc85c0b8a626a8913e63cf06bf993ed9ba2973aaa57436f577ed3f5,7086223,2026-07-12 10:33:25,0x1eD68C699572c1d03491Ce02874E68E7BB112027,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,1174.618451,transfer,token_transfer
0xff16f58bd0c85dd5a878a474d6c441d5e6e98b4e49a5f007b7c6840da85b20ed,7086204,2026-07-12 10:32:25,0xEE6E0102930014d7BDC2a0A34C26894E065eE624,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,944.858352,transfer,token_transfer
0x6aa08c1e9fc2700597aa9d42e228a3d517c4f70d60a5c75d4157dc90f9567abd,7086170,2026-07-12 10:30:34,0x514FE05BDD0F6597d40B3B5367fD2E4996378368,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,408.561721,transfer,token_transfer
0x470085147c6aaf576fd4bb614e40dd17b0f834e88e9b7f9aa1c89d27014c2b89,7086151,2026-07-12 10:29:31,0xE907896A8f9edd5C24544650E07A6E576A724E5C,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,3172.0,transfer,token_transfer
0x11bfd119592586ac24023cf4d999a5df2b2813817dded6549e1ccd9d822c9e99,7086142,2026-07-12 10:29:04,0xbE03c2419c1eb62849D37C37D29C195F64397EE3,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,2446.0,transfer,token_transfer
0xdcbf15938c5b70c2c61ba642ed91a0bb98419c44819522ce3bf8964e982c4c5c,7086136,2026-07-12 10:28:43,0x5015282cd375bfe3c96C8E4166531068a6276D3C,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1000.0,transfer,token_transfer
0xff7e46507b575bfecb32a373cb622a00d57dbf3a47296f1258774d52a45cfa4e,7086123,2026-07-12 10:28:01,0x6A80B74460Ad62361849eA785294C65B1fbC548B,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,2610.98091,transfer,token_transfer
0xed88814d92aa5f1f9607fbb66f83ac9f5adfd6e27527fe08f87de824e4f3ed6f,7086122,2026-07-12 10:27:58,0xABFEaa3319969c393A07A64bDAA739cbDE2fb525,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,905.0,transfer,token_transfer
0x73028d0f35fa9ec3717627ad91f59cae11abd288f5850df0ba6e1a9204463fed,7086056,2026-07-12 10:24:25,0x47cdaCb562Ca6A6717E895C03cA348f0C0Bb9a17,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,2406.0,transfer,token_transfer
0x2c55286bbaa66f2b8d39423379f339da3098ef6b8797336437b881b5ff5fbf4c,7085972,2026-07-12 10:19:52,0x520Fc4F0d6F56D5Cd298631D056B42FCc8a40285,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,2011.3849,transfer,token_transfer
0x278994433cfc954b3ce75d79f3b3e3b67a2daf9bcea27d720aa136dbc757530e,7085890,2026-07-12 10:15:25,0xBfab4084B7017eD44E25897Aa2e9cC3449dB3704,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1076.2139,transfer,token_transfer
0x03d952edeb36ae68dbf832c225821d3ebd0fe3fc0726c70ddcbc25cdea27c579,7085876,2026-07-12 10:14:40,0xfE102725BF6EF7786b1dbA21b325F358A7A2CA87,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,7353.8109,transfer,token_transfer
0x2cf012533c176cf16dabc99385f893c399f7073590210bc6642691c64d4cbfeb,7085866,2026-07-12 10:14:07,0xD92647e59Ef27F13DD8715D57d2cFC98eA72ba61,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,20.0,transfer,token_transfer
0x86a7520690773e596e0d8db1736ecd3dc81de84016c64bc8df2fc8ccae17c59c,7085790,2026-07-12 10:09:58,0x1E2e34c7A77673F2002FD0167d650C30727a757c,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1266.0546,transfer,token_transfer
0x5af3a5b1c2a9a2e79f61c5ce4aff21b68a66ae9a8d7d03f9c862042966e49cf2,7085735,2026-07-12 10:07:01,0x2E4f2AA1f2A42909Aa172F86031df86886688C64,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,2298.571997,transfer,token_transfer
0x32cf7631719923be58a179d6eeff2473a1e6f856c267003d3a55227144ea1d05,7085732,2026-07-12 10:06:52,0xdf5FB64CCcb2e6db3531Be1AD43D795f80168DF2,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1251.375,transfer,token_transfer
0x1c0fd840eaa752e0248bae8dc287b3357a7b61ccb384d6db44b455f053d9b130,7085720,2026-07-12 10:06:13,0x99df357cD7F52FE49A75B090975d09C46Fae939a,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,6169.906694,transfer,token_transfer
0xf0aeadc079354b45a8472feea510b8d4243905f75e88ed39e4d6629129cf2d78,7085720,2026-07-12 10:06:13,0xb32219454Ae325518973a5f5dC84F0C81B07c1fF,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,16822.579998,transfer,token_transfer
0xb65cdff948640157f60d1901489caf02ccbf03eaf5f655fcbe8b03401925c38b,7085698,2026-07-12 10:05:01,0x6941e4BF7D631857F13A627804c7A63F4081182D,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1678.62,transfer,token_transfer
0x778081b070c7ca7d8c3aa50b6985021cd514e79668407c6915780d2f81dc2ece,7085672,2026-07-12 10:03:37,0x1c11c36AE76Ac20092BDd19d0D4102F7703CD3f3,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,8040.150859,transfer,token_transfer
0x5a0a471973ef25ed4b8eb9d742ede443399c1cb4d2318aeff74cf7680ae42a9d,7085662,2026-07-12 10:03:04,0xABb8bb43B91544377cFCbdD8732576699C35560d,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,3843.467839629519,transfer,token_transfer
0x0db4b36d655d1521f1e604bcac429ad4e97f4a51957ac7abe582ad1fef5c0190,7085549,2026-07-12 09:56:52,0xAFb3Ea06A87B3eb3261f6c81D2c01dB19111d962,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,813.55,transfer,token_transfer
0xcfd4e5292b3ec151766f8181b4cbdf692d04ea69e4e6e4efca12ac894fa7741b,7085525,2026-07-12 09:55:34,0x5D1649Dceb9e316924a6DFe942258ce590e69825,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,825.64,transfer,token_transfer
0xa13cb7c8b7580a3755c5fddceef219b2e3354cf227e651ea442af73cb2c27f74,7085502,2026-07-12 09:54:19,0xb7852eF823066f4A3076ea7f8B3eC5df5E75C03e,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,853.79,transfer,token_transfer
0x4be60cd38bddc601cb3aa192fbe03fcc2a8dda15e9053f7d81372972683a9409,7085501,2026-07-12 09:54:16,0x42984Bf406179bc95AC4334bEa82B4658f5ECc59,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1000.0,transfer,token_transfer
0xd3af3aa23c99b2390a8e0e4fc124438d8f7410c125684a8a0b3f8aae47b155d9,7085483,2026-07-12 09:53:19,0xe3EFb1E08d363E1973398E7999998B83A58C6911,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,436.3415,transfer,token_transfer
0x80410eaebee962b7252db9b56d881fca8d68dda5f3ba66f823de5ffc4319906f,7085475,2026-07-12 09:52:52,0xEf2288DCF54461bBF3a4C660F13DF693BEE31646,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,967.55,transfer,token_transfer
0x8f2c9cc2cc3be09f802ee572ea4591893be8431ea099d2364a069204faf74a9f,7085470,2026-07-12 09:52:37,0xeE5F4bEc73B19ff7aF5107b42d0C6a6A19f1C40b,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,779.5695,transfer,token_transfer
0x50ab8a5380e350fe54825da68b251865edfd4bfbf3c93842d9661ada9b7a839d,7085442,2026-07-12 09:51:04,0xa37f7411BB8fa0861638f51f462499F7dC2bf4C0,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,12849.532803220705,transfer,token_transfer
0xe3fba66d91eece5ddda1e2e0a134e6c061544832dd7f4a681ddea1cbf770654e,7085393,2026-07-12 09:48:25,0xDa6A19709AbEF38b23A442F132D7985E884eD86b,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1580.0,transfer,token_transfer
0xc88fcb1c2a3455151d3efbe7f2edb36f767cebffdd297b499cb2364a6f7af8fd,7085379,2026-07-12 09:47:40,0xBb060089FC72E972a2983F72A6F9E747e693f2dB,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,2330.35,transfer,token_transfer
0xe0052a82d70b62f6b4a600b17b0203f727858fa06e617c2c3d25b5e811145f29,7085357,2026-07-12 09:46:28,0x1E07b1c0C4B1871CAfbC303d7125FE1EDa5ad821,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,818.0,transfer,token_transfer
0x8699891732b82fb8903eca56e595bd380f3aae13a0ec77faf7c9006bfc9fdfee,7085356,2026-07-12 09:46:25,0xfecf5300Efa14d7E7a7c24DEFD45B1f987FfB60E,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,829.25,transfer,token_transfer
0xda79ea41a0a8c85395c0eec418470f70549bdc957cc04c698e6bd1b0cdfbd712,7085345,2026-07-12 09:45:49,0xFb88b2609e83e7EAe36c8F9Bd7b731627d189550,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1104.182644,transfer,token_transfer
0x0e9954f2dca1a13fe4ca160885a4017e34419fdc9f364792bee0b71e121ff03d,7085342,2026-07-12 09:45:40,0xDa96EB0Eba4024Abe954bd39D53Edb8c4Df93b64,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,2347.47,transfer,token_transfer
0x2a5580aa0f6c72cf994300262398550b4400d57bc5b90513dcfc34af64a20fb2,7085335,2026-07-12 09:45:16,0x1d7E6887097ee0375f87DfE89eF29B3711CADDe6,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,916.98,transfer,token_transfer
0x2e2ea4f7bfcc78c3a6b18028b42deff9d1bd818d541e960b59ea390fd5ee5221,7085324,2026-07-12 09:44:43,0x8c4F7719638f584fa17C244715BFE048E3dec62f,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,0.7,transfer,token_transfer
0x4218385a8aa46b45aac55f67b38fdb310862f63f59b8eba9cba237c9f4a02c1d,7085316,2026-07-12 09:44:16,0x7E5A2bF189fF57f850C4fCA839bB273A953519d3,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,940.6,transfer,token_transfer
0xf90a29a22a679d6bccae643897d2a01d32f1c912f709c955adfe22ed6178755b,7085316,2026-07-12 09:44:16,0x737BEDc2b043c6c1d471E396E2D4495B1FB2dc4E,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,863.78,transfer,token_transfer
0x877561cec030bebcef9acb2ee68ed1a1c323fe8bc9d6d1cac365d6e32bf23987,7085305,2026-07-12 09:43:40,0x9094B5c01e553d86Ce9a10cd7Fab706C7b276800,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1236.0,transfer,token_transfer
0xe069058ee024347cfe42cbe8470380ed262f0e85aaf0093be77d36ccbcb98146,7085302,2026-07-12 09:43:31,0xe17966a9838Ad8FdE41c541f7e2185fA7344968C,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1399.41,transfer,token_transfer
0xbeaf93141b6115f2c9a220ce2cb3e60cbaf4fa5f71648eda935432332c997e02,7085297,2026-07-12 09:43:13,0x4b35A60cffdB1C174aD155AfCBA6A21c7f74E181,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,943.59,transfer,token_transfer
0x95b41dff4e2b475f10dcebe90fef821dd1f391725a267a5e97028289e947bfe8,7085282,2026-07-12 09:42:25,0x8c4F7719638f584fa17C244715BFE048E3dec62f,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,724.0,transfer,token_transfer
0xd82aa53dae2952425035394d385578971427ce7c0ad611924dafdd75a9effb77,7085264,2026-07-12 09:41:25,0xBA4c90ebd241DFEAC48822fa71867e30f82Cd674,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,757.0,transfer,token_transfer
